,A,A-,B,B-,C,C-,D,E,F
Chemistry,3.0,17.0,15.0,20.0,6.0,0.0,0.0,0.0,0.0
Physics,12.0,12.0,17.0,12.0,6.0,2.0,0.0,0.0,0.0
Signals Processing,10.0,14.0,14.0,15.0,8.0,0.0,0.0,0.0,0.0
Calculus,8.0,17.0,7.0,21.0,3.0,3.0,2.0,0.0,0.0
Electrical Engineering I,9.0,11.0,12.0,16.0,10.0,3.0,0.0,0.0,0.0
Engineering Drawing,7.0,5.0,22.0,15.0,8.0,2.0,2.0,0.0,0.0
Bioengineering I,9.0,14.0,15.0,16.0,6.0,1.0,0.0,0.0,0.0
Computer Science I,13.0,15.0,16.0,13.0,2.0,2.0,0.0,0.0,0.0
Linear Algebra,6.0,13.0,12.0,22.0,4.0,4.0,0.0,0.0,0.0
Mechanics I,2.0,9.0,20.0,20.0,6.0,2.0,2.0,0.0,0.0
Quantum Computing I,0.0,4.0,7.0,36.0,11.0,2.0,1.0,0.0,0.0
Metallurgy I,2.0,33.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0
Metallurgy II,0.0,7.0,20.0,20.0,7.0,5.0,2.0,0.0,0.0
DSA,1.0,6.0,14.0,23.0,6.0,4.0,7.0,0.0,0.0
Probability and Statistics,5.0,12.0,13.0,26.0,5.0,0.0,0.0,0.0,0.0
Theory of Computation,0.0,1.0,5.0,20.0,14.0,15.0,6.0,0.0,0.0
Chemistry Lab,1.0,11.0,17.0,31.0,1.0,0.0,0.0,0.0,0.0
Mechanics Workshop,5.0,4.0,8.0,29.0,7.0,7.0,1.0,0.0,0.0
Physics Lab,2.0,4.0,12.0,22.0,8.0,11.0,2.0,0.0,0.0
Biochemistry Lab,6.0,15.0,11.0,18.0,5.0,5.0,1.0,0.0,0.0
Computer Architecture,1.0,5.0,11.0,21.0,11.0,7.0,4.0,0.0,1.0
Works of Charles Dickens,0.0,2.0,3.0,55.0,1.0,0.0,0.0,0.0,0.0
Electronics,0.0,3.0,17.0,25.0,12.0,3.0,1.0,0.0,0.0
UI Design I,2.0,12.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0
Thermodynamics,0.0,7.0,19.0,15.0,13.0,6.0,1.0,0.0,0.0
Operating Systems,1.0,4.0,9.0,16.0,14.0,8.0,6.0,2.0,1.0
Machine Learning I,6.0,5.0,18.0,15.0,5.0,5.0,5.0,1.0,1.0
Works of Arthur Conan Doyle,2.0,3.0,5.0,51.0,0.0,0.0,0.0,0.0,0.0
Works of George Lucas,6.0,4.0,1.0,49.0,0.0,1.0,0.0,0.0,0.0
Works of Tolkien,0.0,2.0,2.0,57.0,0.0,0.0,0.0,0.0,0.0
Commonwealth Literature,1.0,0.0,0.0,53.0,4.0,1.0,2.0,0.0,0.0
Works of Shakespeare,0.0,1.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0
